N,W_IN,W_FB,AUC
10,0.100000,0.100000,0.797
10,0.100000,0.200000,0.778
10,0.100000,0.300000,0.742
10,0.100000,0.400000,0.544
10,0.100000,0.500000,0.541
10,0.100000,0.600000,0.492
10,0.100000,0.700000,0.512
10,0.100000,0.800000,0.513
10,0.100000,0.900000,0.512
10,0.200000,0.100000,0.797
10,0.200000,0.200000,0.778
10,0.200000,0.300000,0.742
10,0.200000,0.400000,0.667
10,0.200000,0.500000,0.571
10,0.200000,0.600000,0.513
10,0.200000,0.700000,0.494
10,0.200000,0.800000,0.516
10,0.200000,0.900000,0.534
10,0.300000,0.100000,0.797
10,0.300000,0.200000,0.779
10,0.300000,0.300000,0.746
10,0.300000,0.400000,0.662
10,0.300000,0.500000,0.608
10,0.300000,0.600000,0.479
10,0.300000,0.700000,0.507
10,0.300000,0.800000,0.513
10,0.300000,0.900000,0.531
10,0.400000,0.100000,0.795
10,0.400000,0.200000,0.774
10,0.400000,0.300000,0.745
10,0.400000,0.400000,0.660
10,0.400000,0.500000,0.622
10,0.400000,0.600000,0.506
10,0.400000,0.700000,0.496
10,0.400000,0.800000,0.531
10,0.400000,0.900000,0.546
10,0.500000,0.100000,0.791
10,0.500000,0.200000,0.775
10,0.500000,0.300000,0.747
10,0.500000,0.400000,0.662
10,0.500000,0.500000,0.631
10,0.500000,0.600000,0.494
10,0.500000,0.700000,0.500
10,0.500000,0.800000,0.523
10,0.500000,0.900000,0.559
10,0.600000,0.100000,0.791
10,0.600000,0.200000,0.777
10,0.600000,0.300000,0.748
10,0.600000,0.400000,0.663
10,0.600000,0.500000,0.640
10,0.600000,0.600000,0.483
10,0.600000,0.700000,0.492
10,0.600000,0.800000,0.549
10,0.600000,0.900000,0.535
10,0.700000,0.100000,0.796
10,0.700000,0.200000,0.776
10,0.700000,0.300000,0.747
10,0.700000,0.400000,0.665
10,0.700000,0.500000,0.644
10,0.700000,0.600000,0.505
10,0.700000,0.700000,0.487
10,0.700000,0.800000,0.532
10,0.700000,0.900000,0.556
10,0.800000,0.100000,0.794
10,0.800000,0.200000,0.778
10,0.800000,0.300000,0.744
10,0.800000,0.400000,0.666
10,0.800000,0.500000,0.636
10,0.800000,0.600000,0.496
10,0.800000,0.700000,0.492
10,0.800000,0.800000,0.533
10,0.800000,0.900000,0.565
10,0.900000,0.100000,0.788
10,0.900000,0.200000,0.779
10,0.900000,0.300000,0.745
10,0.900000,0.400000,0.666
10,0.900000,0.500000,0.628
10,0.900000,0.600000,0.489
10,0.900000,0.700000,0.493
10,0.900000,0.800000,0.527
10,0.900000,0.900000,0.552
20,0.100000,0.100000,0.797
20,0.100000,0.200000,0.778
20,0.100000,0.300000,0.742
20,0.100000,0.400000,0.544
20,0.100000,0.500000,0.541
20,0.100000,0.600000,0.492
20,0.100000,0.700000,0.512
20,0.100000,0.800000,0.513
20,0.100000,0.900000,0.512
20,0.200000,0.100000,0.797
20,0.200000,0.200000,0.778
20,0.200000,0.300000,0.742
20,0.200000,0.400000,0.667
20,0.200000,0.500000,0.571
20,0.200000,0.600000,0.513
20,0.200000,0.700000,0.494
20,0.200000,0.800000,0.516
20,0.200000,0.900000,0.534
20,0.300000,0.100000,0.797
20,0.300000,0.200000,0.779
20,0.300000,0.300000,0.746
20,0.300000,0.400000,0.662
20,0.300000,0.500000,0.608
20,0.300000,0.600000,0.479
20,0.300000,0.700000,0.507
20,0.300000,0.800000,0.513
20,0.300000,0.900000,0.531
20,0.400000,0.100000,0.795
20,0.400000,0.200000,0.774
